Extension,Result,Assumption,AppName,AppPath,DdeExec,SysFileAssoc,WinFileAssoc,HKCU_SwCls,HKLU_has,User_Choice,User_ChoiceExec,User_ChoiceToast,User_CntProgids,User_ProgidOne,User_ProgidOneExec,User_ProgidOneToast,User_ProgIdsValid,User_ProgIdsValid2,User_CntList,User_ValidList,Root_Default,Root_DefaultExec,Root_DefaultToast,Root_CntProgids,Root_ProgidsValid,Root_ProgidOne,Root_ProgidOneExec,Root_ProgidOneToast,Root_CountList,Root_ListIsValid,Root_PersistentHandler,Root_ContentType,Root_PerceivedType
.386,,openwith2,,,,,,,False,,False,False,0,,False,False,True,False,,True,vxdfile,False,False,0,True,,False,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,system
.3fr,exec,exec4,Photos,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2023.10030.27002.0_x64__8wekyb3d8bbwe?,,yes:noshell,yes:appx9rkaq77s0jzh1tyccadx9ghba15r6t3h,yes,True,,False,False,0,,False,False,True,False,Microsoft.Windows.Photos_8wekyb3d8bbwe!App,False,,False,False,1,True,AppX9rkaq77s0jzh1tyccadx9ghba15r6t3h,False,True,0,True,,image/3FR,image
.3g2,,exec4,Movies & TV,C:\Windows\system32\wmp.dll?,,yes:shell,yes:2,yes,True,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h,False,True,1,WMP11.AssocFile.3G2,True,True,True,False,0,True,WMP11.AssocFile.3G2,True,True,3,True,,False,False,0,True,,video/3gpp2,video
.3gp,,exec4,Movies & TV,C:\Windows\system32\wmp.dll?,,yes:shell,yes:2,yes,True,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h,False,True,1,WMP11.AssocFile.3GP,True,True,True,False,Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo,False,WMP11.AssocFile.3GP,True,True,3,True,,False,False,0,True,,video/3gpp,video
.3gp2,exec,exec4,Movies & TV,C:\Windows\system32\wmp.dll?,,yes:shell,yes:2,yes,True,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h,False,True,1,WMP11.AssocFile.3G2,True,True,True,False,Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo,False,WMP11.AssocFile.3G2,True,True,3,True,,False,False,0,True,,video/3gpp2,video
.3gpp,,exec4,Movies & TV,C:\Windows\system32\wmp.dll?,,yes:shell,yes:2,yes,True,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h,False,True,1,WMP11.AssocFile.3GP,True,True,True,False,Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo,False,WMP11.AssocFile.3GP,True,True,3,True,,False,False,0,True,,video/3gpp,video
.3mf,,exec4,Paint 3D,,,yes:noshell,yes:2,yes,True,AppXvhc4p7vz4b485xfp46hhk3fq3grkdgjg,False,True,0,,False,False,True,False,0,True,,False,False,2,True,,False,False,0,True,,,
.a,,openwith1,Pick an app,"C:\Windows\system32\OpenWith.exe ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,,False,False,0,True,,False,False,0,True,{5e941d80-bf96-11cd-b579-08002b30bfeb},,
.aac,,exec4,Groove Music,C:\Windows\system32\wmp.dll?,,yes:shell,yes:appxqj98qxeaynz6dv4459ayz6bnqxbyaqcs,yes,True,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs,False,True,1,WMP11.AssocFile.ADTS,True,True,True,False,Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic,False,WMP11.AssocFile.ADTS,True,True,2,True,,False,False,0,True,,audio/vnd.dlna.adts,audio
.ac3,,exec4,Groove Music,C:\Program Files\WindowsApps\Microsoft.ZuneMusic_10.22031.10091.0_x64__8wekyb3d8bbwe?,,,yes:appxqj98qxeaynz6dv4459ayz6bnqxbyaqcs,yes,True,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs,False,True,0,,False,False,True,False,0,True,,False,False,1,True,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs,False,True,0,True,,audio/vnd.dolby.dd-raw,audio
.accessor,,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,False,,False,False,0,,False,False,True,False,,True,,False,False,1,False,VisualStudio.accessor.f12b09fd,True,False,0,True,,,
.accountpicture-ms,,exec4,WINDOWS.UI.IMMERSIVE,,,,,,False,,False,False,0,,False,False,True,False,,True,accountpicturefile,False,False,0,True,,False,False,0,True,,application/windows-accountpicture,
.adt,,exec4,Groove Music,C:\Windows\system32\wmp.dll?,,yes:shell,yes:appxqj98qxeaynz6dv4459ayz6bnqxbyaqcs,yes,True,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs,False,True,1,WMP11.AssocFile.ADTS,True,True,True,False,0,True,WMP11.AssocFile.ADTS,True,True,2,True,,False,False,0,True,,audio/vnd.dlna.adts,audio
.adts,,exec4,Groove Music,C:\Windows\system32\wmp.dll?,,yes:shell,yes:appxqj98qxeaynz6dv4459ayz6bnqxbyaqcs,yes,True,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs,False,True,1,WMP11.AssocFile.ADTS,True,True,True,False,0,True,WMP11.AssocFile.ADTS,True,True,2,True,,False,False,0,True,,audio/vnd.dlna.adts,audio
.ai,,openwith1,Pick an app,"C:\Windows\system32\OpenWith.exe ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,,False,False,0,True,,False,False,0,True,,application/postscript,
